Nombre del evento,Número de eventos,Total de usuarios,Número de eventos por usuario,Total de ingresos
LEVEL_COMPLETED_62,5534,5468,1.0139245144741664,0
START_LEVEL_101,5530,4203,1.3176078151060282,0
TIME_LEVEL_621,5524,5461,1.013392038158136,0
LEVEL_COMPLETED_63,5462,5400,1.0126065999258436,0
TIME_LEVEL_631,5452,5393,1.0120660850194914,0
START_LEVEL_91,5435,4452,1.222447143499775,0
LEVEL_COMPLETED_64,5432,5368,1.0134328358208955,0
TIME_LEVEL_641,5422,5361,1.0128899682421073,0
START_LEVEL_97,5407,4329,1.2513307104836844,0
START_LEVEL_98,5400,4308,1.2561060711793441,0
LEVEL_COMPLETED_65,5362,5307,1.0124622356495467,0
TIME_LEVEL_651,5352,5300,1.0119115144639819,0
LEVEL_COMPLETED_66,5324,5273,1.0119749097129824,0
TIME_LEVEL_661,5316,5267,1.0116079923882018,0
START_LEVEL_111,5307,3959,1.344906234161176,0
START_LEVEL_95,5294,4386,1.2095042266392506,0
START_LEVEL_92,5293,4453,1.1907761529808774,0
LEVEL_COMPLETED_67,5284,5230,1.0124544931979307,0
TIME_LEVEL_671,5276,5224,1.0120851716861692,0
LEVEL_COMPLETED_68,5269,5216,1.0117127496159755,0
TIME_LEVEL_681,5261,5210,1.0113417916186083,0
START_LEVEL_88,5256,4531,1.1623175586023884,0
LEVEL_COMPLETED_69,5240,5185,1.0119737350328313,0
TIME_LEVEL_691,5232,5179,1.011600928074246,0
START_LEVEL_102,5225,4150,1.2617725187152862,0
START_LEVEL_89,5223,4502,1.162474961050523,0
LEVEL_COMPLETED_70,5184,5131,1.0117096018735363,0
TIME_LEVEL_701,5177,5126,1.011330337956632,0
notification_dismiss,5160,3244,3.0335097001763667,0
LEVEL_COMPLETED_71,5120,5064,1.0126582278481013,0
START_LEVEL_106,5115,4088,1.254291319274154,0
TIME_LEVEL_711,5113,5059,1.012274797069887,0
LEVEL_COMPLETED_72,5080,5026,1.0125573051624477,0
START_LEVEL_93,5079,4416,1.1514395828610293,0
TIME_LEVEL_721,5071,5019,1.0121756487025948,0
LEVEL_COMPLETED_73,5060,5006,1.013418786300821,0
TIME_LEVEL_731,5052,5000,1.0130338881090837,0
LEVEL_COMPLETED_74,5037,4978,1.0142972211035037,0
START_LEVEL_120,5034,3777,1.3345705196182396,0
TIME_LEVEL_741,5028,4971,1.013914095583787,0
LEVEL_COMPLETED_75,5018,4960,1.0141471301535974,0
TIME_LEVEL_751,5008,4952,1.0137651821862348,0
START_LEVEL_99,5007,4233,1.1853693181818181,0
START_LEVEL_107,4996,4050,1.2363276416728533,0
LEVEL_COMPLETED_76,4974,4920,1.0130346232179226,0
LEVEL_COMPLETED_77,4970,4909,1.0144927536231885,0
TIME_LEVEL_761,4964,4912,1.0126478988168095,0
TIME_LEVEL_771,4959,4901,1.0136958299264105,0
LEVEL_COMPLETED_78,4931,4871,1.0144003291503805,0
START_LEVEL_105,4922,4089,1.2063725490196078,0
TIME_LEVEL_781,4921,4863,1.0140119513702863,0
START_LEVEL_108,4920,4022,1.2257100149476832,0
LEVEL_COMPLETED_79,4903,4845,1.0140641158221304,0
TIME_LEVEL_791,4894,4838,1.0136702568351283,0
START_LEVEL_121,4884,3727,1.3125503896801936,0
START_LEVEL_104,4878,4093,1.1938325991189427,0
LEVEL_COMPLETED_80,4867,4813,1.0131140716069942,0
TIME_LEVEL_801,4859,4807,1.0127136306794498,0
START_LEVEL_109,4828,3993,1.211847389558233,0
LEVEL_COMPLETED_81,4826,4774,1.0132269577997062,0
TIME_LEVEL_811,4818,4768,1.0128232079041413,0
START_LEVEL_118,4811,3804,1.2683891378855787,0
START_LEVEL_103,4792,4093,1.1727851199216839,0
LEVEL_COMPLETED_82,4789,4731,1.0141889030072004,0
LEVEL_COMPLETED_83,4784,4726,1.0146341463414634,0
TIME_LEVEL_821,4779,4725,1.0133587786259541,0
TIME_LEVEL_831,4774,4720,1.0138033552771288,0
LEVEL_COMPLETED_84,4763,4708,1.0140515222482436,0
START_LEVEL_132,4758,3524,1.3532423208191127,0
TIME_LEVEL_841,4754,4701,1.0136460554371003,0
START_LEVEL_116,4710,3842,1.2291231732776617,0
LEVEL_COMPLETED_85,4666,4610,1.0139069969578445,0
TIME_LEVEL_851,4658,4604,1.0134899912967799,0
LEVEL_COMPLETED_86,4627,4572,1.013359614542269,0
START_LEVEL_112,4623,3890,1.1921093347086127,0
START_LEVEL_115,4623,3848,1.2042198489189893,0
TIME_LEVEL_861,4619,4566,1.012938596491228,0
START_LEVEL_114,4602,3854,1.1975019516003123,0
START_LEVEL_126,4564,3655,1.251439539347409,0
START_LEVEL_113,4552,3867,1.1801918589577391,0
START_LEVEL_119,4547,3770,1.2086656034024454,0
LEVEL_COMPLETED_87,4544,4491,1.0138331102186524,0
TIME_LEVEL_871,4536,4485,1.0134048257372654,0
LEVEL_COMPLETED_88,4530,4471,1.0152398027790228,0
TIME_LEVEL_881,4522,4465,1.0148114901256733,0
LEVEL_COMPLETED_89,4493,4442,1.0135348522445298,0
TIME_LEVEL_891,4486,4437,1.0130984643179766,0
START_LEVEL_117,4473,3805,1.178345626975764,0
START_LEVEL_139,4468,3412,1.3118027011156783,0
LEVEL_COMPLETED_90,4450,4403,1.0120536729588356,0
LEVEL_COMPLETED_91,4443,4396,1.0120728929384966,0
TIME_LEVEL_901,4443,4398,1.0116120218579234,0
START_LEVEL_125,4437,3658,1.2152834839769926,0
TIME_LEVEL_911,4436,4391,1.011630558722919,0
LEVEL_COMPLETED_92,4435,4388,1.0120949338201735,0
START_LEVEL_133,4429,3484,1.2741657077100115,0
TIME_LEVEL_921,4427,4382,1.011654478976234,0
LEVEL_COMPLETED_93,4414,4365,1.0126175728378068,0
START_LEVEL_129,4408,3598,1.2281972694343828,0
TIME_LEVEL_931,4407,4360,1.012172714745062,0
START_LEVEL_122,4404,3679,1.1993464052287581,0
START_LEVEL_123,4403,3665,1.203992343450916,0
LEVEL_COMPLETED_94,4388,4337,1.0140975271550727,0
TIME_LEVEL_941,4382,4333,1.013647929678464,0
START_LEVEL_128,4365,3621,1.207802988378528,0
START_LEVEL_124,4364,3648,1.198242723778144,0
LEVEL_COMPLETED_95,4358,4307,1.0141959506632534,0
TIME_LEVEL_951,4352,4303,1.013743303051479,0
START_LEVEL_127,4317,3629,1.192212096106048,0
LEVEL_COMPLETED_96,4308,4260,1.0124559341950645,0
START_LEVEL_131,4305,3515,1.2292975442604226,0
START_LEVEL_150,4302,3267,1.3176110260336906,0
TIME_LEVEL_961,4300,4255,1.011764705882353,0
LEVEL_COMPLETED_97,4298,4253,1.0129625265142588,0
START_LEVEL_140,4298,3375,1.2757494805580292,0
TIME_LEVEL_971,4289,4247,1.0122728345527496,0
START_LEVEL_149,4261,3274,1.3018637335777574,0
START_LEVEL_142,4258,3331,1.280216476247745,0
LEVEL_COMPLETED_98,4256,4209,1.0133333333333334,0
START_LEVEL_160,4248,3155,1.3511450381679388,0
TIME_LEVEL_981,4247,4204,1.0123957091775924,0
START_LEVEL_141,4244,3351,1.268380155409444,0
START_LEVEL_145,4240,3313,1.2813538833484437,0
LEVEL_COMPLETED_99,4230,4182,1.0134163871586008,0
START_LEVEL_156,4224,3183,1.3299748110831233,0
TIME_LEVEL_991,4221,4177,1.0124730151115375,0
START_LEVEL_146,4177,3291,1.2699908786865308,0
LEVEL_COMPLETED_100,4166,4117,1.013625304136253,0
START_LEVEL_138,4160,3399,1.2260536398467432,0
START_LEVEL_155,4159,3199,1.3029448621553885,0
TIME_LEVEL_1001,4157,4112,1.012667478684531,0
LEVEL_COMPLETED_101,4127,4079,1.0135068762278978,0
TIME_LEVEL_1011,4118,4073,1.012788981800295,0
